,imp,imp_rank,avg_sp,avg_sp_rank,cnt,elite_avg_sp,elite_avg_sp_rank,elite_cnt,diff_avg_sp
"(3, 2)",1.0,1.0,92.40912597380822,1.0,65593.0,92.70543812642653,4.0,10077.0,0.296312152618313
"(0, 2)",0.8702418937655994,2.0,92.27709882069048,3.0,77079.0,92.87436244640035,1.0,13293.0,0.5972636257098713
"(1, 2)",0.8570361793442356,3.0,92.18711717520335,4.0,105466.0,92.80270562155405,2.0,17593.0,0.6155884463506993
"(2, 2)",0.8190423628993326,4.0,92.29113391582682,2.0,92476.0,92.74879807692308,3.0,14976.0,0.45766416109626107
"(3, 1)",0.7794586959934997,5.0,92.06552014869604,5.0,52187.0,92.341375,5.0,7200.0,0.27585485130396137
"(3, 0)",0.6332787541771943,6.0,91.86453465970787,8.0,28549.0,92.06089252706629,11.0,3787.0,0.1963578673584152
"(2, 1)",0.4551616970778407,7.0,91.95595396898085,6.0,100454.0,92.2637764290002,6.0,14993.0,0.3078224600193522
"(2, 0)",0.4427901847754907,8.0,91.88556837158724,7.0,77247.0,92.18344744633605,9.0,10808.0,0.29787907474880626
"(1, 1)",0.3344859541394989,9.0,91.78625092391692,11.0,167764.0,92.18650946899368,8.0,26930.0,0.4002585450767526
"(1, 0)",0.31147641962776673,10.0,91.69853457237691,12.0,189501.0,92.00928887619592,12.0,28012.0,0.31075430381901015
"(0, 1)",0.2677716349634958,11.0,91.81724144503,9.0,209878.0,92.2019304059652,7.0,36210.0,0.38468896093519334
"(0, 0)",0.2039012071531634,12.0,91.78832515193537,10.0,486062.0,92.06691828027569,10.0,79222.0,0.2785931283403187
